uranus_x,uranus_y,uranus_z
467.44351720864927,326.4868682294896,-4.841615781713013
467.3780941640449,326.57437901299903,-4.840446481862904
467.312653337802,326.6618773649007,-4.8392769978456975
467.2471947320787,326.7493632816273,-4.838107329702541
467.18171834903376,326.8368367596118,-4.836937477474589
467.1162241908266,326.9242977952874,-4.835767441203005
467.05071225961746,327.0117463850876,-4.83459722092896
466.9851825575671,327.0991825254462,-4.833426816693634
466.9196350868372,327.18660621279736,-4.832256228538213
466.85406984959013,327.27401744357536,-4.831085456503892
466.7884868479886,327.36141621421484,-4.829914500631874
466.7228860841965,327.44880252115075,-4.828743360963371
466.65726756037793,327.5361763608183,-4.8275720375396025
466.5916312786981,327.6235377296529,-4.826400530401794
466.52597724132295,327.7108866240904,-4.825228839591182
466.46030545041856,327.7982230405669,-4.824056965149008
466.39461590815233,327.88554697551865,-4.822884907116525
466.3289086166921,327.9728584253823,-4.821712665534991
466.26318357820634,328.0601573865947,-4.820540240445673
466.1974407948642,328.1474438555932,-4.819367631889847
466.1316802688358,328.23471782881506,-4.818194839908795
466.06590200229175,328.32197930269825,-4.8170218645438085
466.0001059974034,328.4092282736806,-4.815848705836187
465.9342922563428,328.49646473820053,-4.814675363827237
465.8684607812825,328.5836886926966,-4.813501838558275
465.8026115743962,328.67090013360786,-4.812328130070622
465.73674463785795,328.7580990573733,-4.811154238405611
465.67085997384254,328.84528546043236,-4.80998016360458
465.60495758452555,328.932459339225,-4.808805905708876
465.53903747208307,329.019620690191,-4.807631464759856
465.47309963869225,329.10676950977086,-4.806456840798881
465.4071440865304,329.193905794405,-4.805282033867323
465.3411708177763,329.2810295405345,-4.804107044006562
465.2751798346085,329.3681407446004,-4.802931871257984
465.2091711392071,329.4552394030441,-4.801756515662984
465.1431447337522,329.54232551230746,-4.800580977262964
465.0771006204252,329.62939906883236,-4.799405256099337
465.0110388014076,329.71646006906127,-4.798229352213522
464.9449592788822,329.8035085094366,-4.797053265646947
464.87886205503196,329.89054438640136,-4.795876996441045
464.812747132041,329.9775676963987,-4.7947005446372595
464.74661451209386,330.0645784358721,-4.7935239102770435
464.68046419737584,330.15157660126516,-4.792347093401854
464.6142961900728,330.23856218902193,-4.791170094053159
464.54811049237173,330.32553519558684,-4.789992912272433
464.48190710645974,330.41249561740426,-4.788815548101161
464.41568603452504,330.4994434509192,-4.7876380015808335
464.3494472787565,330.5863786925769,-4.786460272752948
464.2831908413434,330.6733013388226,-4.785282361659013
464.21691672447616,330.76021138610224,-4.784104268340545
464.1506249303455,330.8471088308617,-4.782925992839066
464.0843154611431,330.93399366954736,-4.781747535196106
464.01798831906103,331.02086589860573,-4.7805688954532055
463.95164350629256,331.1077255144838,-4.779390073651913
463.8852810250313,331.19457251362866,-4.778211069833783
463.8189008774716,331.2814068924877,-4.777031884040379
463.75250306580847,331.3682286475089,-4.775852516313271
463.68608759223764,331.45503777514006,-4.77467296669404
463.6196544589556,331.54183427182954,-4.773493235224273
463.55320366815965,331.62861813402594,-4.772313321945565
463.4867352220476,331.71538935817824,-4.77113322689952
463.4202491228178,331.8021479407355,-4.769952950127751
463.3537453726698,331.88889387814714,-4.768772491671875
463.2872239738032,331.97562716686303,-4.767591851573521
463.220684928419,332.0623478033332,-4.766411029874325
463.1541282387184,332.1490557840079,-4.76523002661593
463.08755390690334,332.2357511053378,-4.764048841839988
463.0209619351768,332.3224337637737,-4.762867475588157
462.954352325742,332.4091037557669,-4.761685927902106
462.88772508080314,332.49576107776886,-4.760504198823511
462.82108020256493,332.58240572623134,-4.759322288394055
462.75441769323317,332.66903769760637,-4.758140196655431
462.6877375550138,332.7556569883463,-4.756957923649337
462.621039790114,332.8422635949037,-4.755775469417482
462.5543244007411,332.92885751373154,-4.754592834001581
462.4875913891036,333.01543874128305,-4.753410017443359
462.4208407574105,333.1020072740117,-4.752227019784546
462.3540725078715,333.18856310837134,-4.751043841066884
462.2872866426969,333.27510624081594,-4.749860481332118
462.220483164098,333.3616366677999,-4.748676940622007
462.1536620742864,333.4481543857779,-4.747493218978311
462.0868233754745,333.5346593912048,-4.746309316442804
462.01996706987586,333.62115168053595,-4.745125233057267
461.953093159704,333.7076312502268,-4.743940968863487
461.88620164717366,333.7940980967333,-4.7427565239032585
461.8192925345001,333.8805522165114,-4.741571898218386
461.75236582389925,333.9669936060174,-4.740387091850683
461.6854215175878,334.0534222617082,-4.739202104841969
461.61845961778323,334.13983818004067,-4.73801693723407
461.55148012670344,334.2262413574721,-4.736831589068823
461.4844830465672,334.31263179045993,-4.735646060388072
461.417468379594,334.3990094754621,-4.734460351233668
461.3504361280041,334.4853744089368,-4.733274461647473
461.28338629401827,334.57172658734237,-4.732088391671354
461.21631887985797,334.65806600713756,-4.730902141347185
461.1492338877455,334.7443926647814,-4.729715710716852
461.0821313199038,334.8307065567332,-4.7285290998222465
461.01501117855645,334.9170076794525,-4.727342308705269
460.9478734659278,335.0032960293992,-4.726155337407826
460.880718184243,335.08957160303345,-4.724968185971834
460.8135453357276,335.17583439681584,-4.723780854439216
460.7463549226082,335.2620844072069,-4.722593342851907
460.6791469471117,335.3483216306679,-4.721405651251844
460.611921411466,335.4345460636601,-4.720217779680976
460.54467831789964,335.520757702645,-4.719029728181257
460.47741766864175,335.6069565440848,-4.717841496794654
