neptune_x,neptune_y,neptune_z
624.8115062964472,-136.73389090422808,-11.585530894561971
624.8255569275673,-136.6679096497522,-11.587205332136033
624.839600652296,-136.60192688645492,-11.588879641615872
624.8536374704624,-136.53594261506265,-11.590553822982711
624.8676673818965,-136.46995683630195,-11.592227876217782
624.8816903864279,-136.40396955089923,-11.593901801302309
624.895706483886,-136.33798075958111,-11.59557559821752
624.9097156741009,-136.27199046307408,-11.597249266944647
624.9237179569026,-136.2059986621047,-11.59892280746492
624.9377133321207,-136.14000535739956,-11.600596219759572
624.9517017995855,-136.07401054968526,-11.602269503809834
624.9656833591271,-136.0080142396884,-11.603942659596942
624.9796580105752,-135.94201642813564,-11.605615687102139
624.9936257537609,-135.87601711575363,-11.607288586306655
625.0075865885137,-135.81001630326904,-11.608961357191733
625.0215405146645,-135.74401399140854,-11.61063399973861
625.0354875320434,-135.67801018089887,-11.612306513928532
625.0494276404813,-135.61200487246677,-11.613978899742737
625.0633608398084,-135.54599806683896,-11.615651157162473
625.0772871298558,-135.47998976474221,-11.617323286168984
625.0912065104541,-135.41397996690338,-11.618995286743516
625.105118981434,-135.3479686740492,-11.620667158867318
625.1190245426266,-135.2819558869065,-11.622338902521639
625.1329231938626,-135.21594160620216,-11.624010517687731
625.1468149349732,-135.14992583266303,-11.625682004346846
625.1606997657898,-135.08390856701598,-11.627353362480234
625.1745776861432,-135.01788980998793,-11.629024592069156
625.1884486958646,-134.9518695623058,-11.63069569309486
625.2023127947857,-134.88584782469653,-11.63236666553861
625.2161699827377,-134.81982459788702,-11.63403750938166
625.2300202595524,-134.75379988260434,-11.635708224605272
625.2438636250608,-134.68777367957543,-11.637378811190706
625.2577000790951,-134.62174598952728,-11.639049269119226
625.2715296214865,-134.55571681318702,-11.640719598372096
625.2853522520671,-134.4896861512816,-11.642389798930575
625.2991679706687,-134.42365400453815,-11.644059870775935
625.3129767771233,-134.35762037368372,-11.645729813889446
625.3267786712626,-134.29158525944544,-11.647399628252371
625.340573652919,-134.22554866255047,-11.649069313845985
625.3543617219245,-134.15951058372588,-11.650738870651557
625.3681428781113,-134.09347102369887,-11.652408298650359
625.3819171213117,-134.02742998319664,-11.654077597823667
625.3956844513581,-133.96138746294636,-11.655746768152756
625.4094448680829,-133.8953434636753,-11.657415809618902
625.4231983713187,-133.82929798611065,-11.659084722203385
625.4369449608979,-133.76325103097966,-11.660753505887483
625.4506846366534,-133.69720259900964,-11.662422160652477
625.4644173984178,-133.63115269092788,-11.66409068647965
625.4781432460238,-133.56510130746165,-11.665759083350283
625.4918621793043,-133.49904844933832,-11.667427351245662
625.5055741980925,-133.43299411728523,-11.669095490147075
