venus_x,venus_y,venus_z
106.3282754331024,-22.09689633569611,-6.439098739071373
106.88807404222527,-19.139417237728207,-6.430822270103189
107.3655782893601,-16.16720419201923,-6.4175946209695995
107.76039117021526,-13.182541105235938,-6.399424220557921
108.07217810308711,-10.187722978089129,-6.37632325221217
108.30066726736293,-7.185054234380798,-6.348307650338773
108.44564989972105,-4.176847038364728,-6.315397094410796
108.5069805475612,-1.1654196013659495,-6.277615000356647
108.48457727921013,1.846905521374526,-6.234988509320319
108.37842185046301,4.8578031426420365,-6.187548473781316
108.18855982703545,7.864947162968402,-6.135329441023622
107.91510066251813,10.866012297098779,-6.078369633944268
107.55821773144312,13.858675806152153,-6.016710929193429
107.11814831708982,16.84061923440021,-5.9503988326393
106.59519355367836,19.80953014956716,-5.87948245215251
105.9897183226193,22.763103885530704,-5.8040144677063275
105.30215110251098,25.699045286282406,-5.724051098790486
104.53298377259962,28.615070449983293,-5.639652069138198
103.68277136944215,31.50890847192893,-5.550880568767591
102.75213179653808,34.37830318521641,-5.457803213340676
101.74174548672492,37.22101489788446,-5.3604900008448215
100.65235501716022,40.03482212527687,-5.259014265603686
99.48476467674412,42.81752331635932,-5.1534526296266066
98.23983998586856,45.566938572699414,-5.043884951307553
96.91850716841198,48.28091135880108,-4.9303942714869455
95.52175257593392,50.95731020246561,-4.813066756891885
94.05062206405944,53.59403038383432,-4.691991640972708
92.50622032108147,56.18899561175106,-4.567261162156126
90.8897101488477,58.74015968606694,-4.438970499537714
89.2023116960393,61.24550814449543,-4.307217706039013
87.44530164399028,63.70305989261229,-4.17210363905712
85.62001234523927,66.11086881558283,-4.033731888637252
83.72783091505003,68.4670253701882,-3.892208703201506
81.77019827618193,70.76965815571322,-3.7476429128697393
79.7486081572389,73.01693546225037,-3.6001458504113275
77.6646060449727,75.20706679496884,-3.4498312698693625
75.51978809096525,77.3383043728927,-3.2968152629017258
73.3157999731649,79.4089446007303,-3.1412161728863865
71.05433571280166,81.41732951229608,-2.983154506841179
68.73713644725878,83.36184818406778,-2.822752845211297
66.36598915952952,85.2409381174257,-2.6601357495806965
63.94272536494245,87.05308658812639,-2.4954296683666337
61.469219755890805,88.79683196157193,-2.3287628405596155
58.94738880535808,90.47076497244655,-2.160265197574159
56.37918933008572,92.07352996730539,-1.990068263278978
53.766617014286766,93.60382610871582,-1.8183050522785131
51.111704894865476,95.06040853956812,-1.64510996652115
48.41652180916171,96.44208950619024,-1.4706186903128626
45.68317080629573,97.7477394389188,-1.2949680838182314
42.91378752324504,98.9762879887949,-1.1182960751334217
40.11053852683566,100.126725019072,-0.9407415510174731
37.27561962287709,101.19810155024477,-0.7624442463690314
34.41125413371177,102.18953065733966,-0.5835446325360183
31.519691145493354,103.10018831825192,-0.4041838045467229
28.603203726557584,103.92931421196805,-0.22450336735348314
25.66408711830761,104.67621246556968,-0.04464532118462926
22.70465690009941,105.34025234896731,0.13524805389428665
19.727247129674925,105.920868916356,0.31503431410424526
16.734208460745805,106.41756359342304,0.4945709686526095
13.727906239377162,106.8299047093769,0.6737155968985611
10.710718580861414,107.15752797290959,0.8523259658728891
7.685034428809253,107.40013689125374,1.0302601480404057
4.653251598220945,107.5575031315526,1.2073766391926093
1.6177748043365827,107.62946682381951,1.3835344763573272
-1.4189863209011833,107.61593680482711,1.5585933556110085
-4.454619222904843,107.51689080233099,1.732413749678258
-7.48671042712132,107.33237555909928,1.9048570252021808
-10.51284754840459,107.06250689628736,2.075785559568244
-13.530621305126544,106.70746971576625,2.2450628571636644
-16.537627536046955,106.26751794108398,2.4125536649538586
-19.531469217942387,105.74297439681092,2.578124087257192
-22.509758481975812,105.13423062609341,2.741641699599211
-25.470118626773743,104.44174664631393,2.9029756615276563
-28.41018612616601,103.66605064283169,3.0619968282699057
-31.327612629534727,102.80773860085303,3.2185778611150395
-34.22006695271368,101.8674738755582,3.3725933364034466
-37.08523705737768,100.8459867006883,3.5239198530078677
-39.92083201686254,99.74407363587378,3.6724361381908848
-42.72458396636135,98.56259695306403,3.8180231517252454
-45.494250035451024,97.3024839624954,3.960564188164937
-48.2276142609146,95.96472627871309,4.09994497715667
-50.92248947783984,94.55037902723973,4.2360537816833705
-53.5767191869935,93.06055999256111,4.368781494133421
-56.18817939649215,91.49644870817522,4.498021730091668
-58.75478043581604,89.85928548952734,4.623670919750763
-61.274468740241026,88.15037041072829,4.745628396844052
-63.74522860379565,86.3710622260262,4.8637964850040785
-66.16508389888548,84.52277723707513,4.978080581453826
-68.53209976076548,82.60698810711393,5.088389237940964
-70.84438423508246,80.62522262323851,5.194634238828754
-73.10008988675438,78.57906240801722,5.296730676260723
-75.29741536850062,76.47014158176542,5.39459702231989
-77.43460694738779,74.30014537685724,5.488155198107055
-79.50995998780851,72.07080870551496,5.577330639666619
-81.52182038936651,69.7839146825738,5.662052360692359
-83.46858597819923,67.4412931047765,5.74225301194974
-85.34870785032984,65.04481888820614,5.817868937355574
-87.16069166570337,62.59641046551457,5.888840226660135
-88.90309889162593,60.098028144653966,5.955110764681228
-90.57454799439353,57.55167243086176,6.0166282770442105
-92.17371557796459,54.95938231369252,6.073344372386451
-93.69933746860102,52.323233520928405,6.125214580989306
-95.1502097444739,49.645336741235305,6.1721983898053105
-96.52518970930271,46.92783581746438,6.214259273852909
-97.82319680917091,44.172905912527526,6.251364723955744
-99.04321349173561,41.3827516498009,6.283486270808157
-100.18428600712458,38.55960523003293,6.310599505353254
-101.24552514989026,35.70572452675231,6.332684095464531
-102.22610694146665,32.82339116218677,6.3497237989266955
