Body,Mass (kg),x_position (km),y_position (km),z_position (km),x_velocity (km/s-1),y_velocity (km/s-1),z_velocity (km/s-1), Diameter (m)
Sun,1.989E30,0,0,0,0,0,0,1391400000
Mercury,0.33E24,-3.976045796395392E+07,-5.566455148693509E+07,-9.011561092846394E+05,2.978564575861331E+01,-2.602391792194269E+01,-4.858920265115197E+00,4879000
Venus,4.87E24,1.063282754331024E+08,-2.209689633569611E+07,-6.439098739071373E+06,6.952734569902644E+00,3.413167299718424E+01,6.711275548697238E-02,12104000
Earth,5.97E24,1.162854713223887E+06,1.471574506635079E+08,-7.122723254501820E+03,-3.028150164871171E+01,1.326111105174682E-01,6.025572387130806E-04,12756000
Mars,0.64171E24,-2.091961756024340E+08,-1.164498204179782E+08,2.692615029574841E+06,1.269065518699707E+01,-1.909767630393511E+01,-7.115585461757954E-01,6792000
Jupiter,1898.19E24,6.759609497211009E+07,-7.796522674195645E+08,1.725927599168599E+06,1.287411623322817E+01,1.746898764949635E+00,-2.952541558337399E-01,142984000
Saturn,568.34E24,5.607753992249545E+08,-1.392595084001077E+09,1.889711337442398E+06,8.438993058453843E+00,3.581941698900687E+00,-3.976468182811483E-01,120536000
Uranus,86.813E24,2.430706289484977E+09,1.697731714793346E+09,-2.517640206490767E+07,-3.936962894370000E+00,5.267226703163548E+00,7.036898471243136E-02,51118000
Neptune,102.413E24,4.373680544075130E+09,-9.571372363295964E+08,-8.109871626193380E+07,1.138641083500358E+00,5.345642336962381E+00,-1.356656398434466E-01,49528000
