earth_x,earth_y,earth_z
1.162854713223887,147.15745066350792,-0.00712272325450182
-1.4536477444623745,147.1460288627282,-0.007069554873649466
-4.069697962451589,147.08884357083744,-0.007014187821789432
-6.684482137627722,146.98590504309686,-0.006956639023750337
-9.297186625144638,146.83723848562764,-0.006896926123808011
-11.906998229903943,146.64288405509097,-0.006835067479836463
-14.513104498141754,146.40289685209322,-0.006771082157146659
-17.114694008968886,146.11734690830892,-0.006704989922016143
-19.7109566657085,145.78631916732013,-0.006636811234912761
-22.301083986875287,145.40991345917422,-0.0065665672434159356
-24.88426939664004,144.98824446866752,-0.006494279774839168
-27.459708514623884,144.52144169736607,-0.006419971328557623
-30.0265994448665,144.00964941938008,-0.006343665068044845
-32.58414306381337,143.4530266309127,-0.006265384812622887
-35.13154330716756,142.85174699360797,-0.006185155028930247
-37.668007455452376,142.20599877172876,-0.006103000822112274
-40.19274641813218,141.51598476319776,-0.006018947926738801
-42.70497501613982,140.7819222245413,-0.005933022697454004
-45.203912262660154,140.00404278977837,-0.0058452520993635725
-47.68878164202086,139.18259238330288,-0.0057556636981645004
-50.15881138654285,138.31783112681066,-0.005664285650022872
-52.613234751204836,137.41003324032744,-0.005571146691205221
-55.05129028597774,136.45948693739777,-0.005476276127469087
-57.47222210568741,135.46649431449967,-0.00537970382321855
-59.87528015726535,134.4313712347529,-0.005281460190430556
-62.25972048425018,133.35444720599372,-0.005181576177357947
-64.62480548840438,132.23606525329194,-0.00508008325701515
-66.96980418831362,131.0765817859905,-0.00497701341545244
-69.29399247483853,129.87636645935135,-0.00487239913982477
-71.59665336329154,128.63580203089455,-0.00476627340626102
-73.87707724221409,127.35528421152203,-0.004658669667539506
-76.13456211863284,126.03522151151941,-0.0045496218405754255
-78.36841385967617,124.67603508153398,-0.004439164293725754
-80.57794643043555,123.27815854862908,-0.004327331833916885
-82.76248212796003,121.84203784751848,-0.004214159693600041
-84.92135181127456,120.36813104708754,-0.004099683517539095
-87.05389512731745,118.85690817231028,-0.003983939349435115
-89.15946073269443,117.30885102167437,-0.0038669636183914307
-91.23740651115195,115.72445298022872,-0.003748793125222522
-93.28709978667447,114.10421882837021,-0.0036294650286095146
-95.30791753211535,112.44866454648934,-0.003509016831104476
-97.29924657327425,110.7583171155954,-0.0033874863649852086
-99.26048378833758,109.03371431404503,-0.0032649117779618092
-101.19103630260335,107.27540451049896,-0.0031413315187360106
-103.09032167841438,105.48394645323391,-0.003016784322414387
-104.95776810022906,103.65990905593804,-0.0028913091957770134
-106.79281455476202,101.80387118011981,-0.0027649454024043156
-108.59491100613151,99.91642141426126,-0.0026377324476668856
-110.36351856595446,97.99815784984816,-0.002509710063586194
-112.09810965833383,96.04968785441012,-0.0023809181935787373
-113.7981681796875,94.07162784170497,-0.002251396977102491
-115.46318965337167,92.06460303918197,-0.002121186734232873
-117.09268137905627,90.0292472528597,-0.0019903279502060064
-118.68616257681357,87.96620262975432,-0.0018588612599798734
-120.24316452588562,85.87611941799432,-0.0017268274328788046
-121.76323069810023,83.7596557247587,-0.0015942673574027178
-123.24591688590903,81.61747727217453,-0.001461222026298121
-124.69079132502532,79.45025715131099,-0.001327732522000227
-126.09743481164335,77.25867557440615,-0.0011938400025605796
-127.4654408142245,75.0434196254626,-0.0010595856881670644
-128.79441557983898,72.80518300934796,-0.0009250108483373491
-130.08397823505638,70.54466579953554,-0.000790156789818293
-131.3337608813804,68.26257418461964,-0.0006550648451518432
-132.54340868522738,65.95962021373933,-0.0005197763617779934
-133.71257996245097,63.63652154104274,-0.0003843326914509352
-134.84094625741946,61.29400116932293,-0.0002487751796659502
-135.92819241665424,58.93278719295453,-0.00011314515475448256
-136.97401665704365,56.553612540258484,2.2516083679410365e-05
-137.97813062864822,54.157214715420665,0.0001581672772319363
-138.94025947211927,51.74433554008846,0.00029376722220837465
-139.86014187075523,49.31572089476804,0.0004292747841488279
-140.73753009722472,46.87212046014376,0.0005646489132170336
-141.57219005498874,44.414287458439546,0.0006998486602012371
-142.36390131445654,41.94297839494152,0.0008348331928309174
-143.11245714391416,39.45895279979873,0.0009695618121189467
-143.8176645352657,36.962972970217784,0.0011039939684831391
-144.47934422463035,34.455803713164876,0.0012380892774665336
-145.09733070784063,31.938212088686825,0.0013718075349455092
-145.67147225088925,29.41096715396002,0.0015051087317768392
-146.2016308953744,26.874839708174335,0.0016379530678826899
-146.68768245899543,24.330602038356098,0.0017703009658047197
-147.12951653115334,21.779027666231947,0.0019021130837764753
-147.52703646371197,19.220891096232915,0.002033350328370317
-147.88015935697845,16.656967564735353,0.0021639738667745346
-148.18881604096356,14.088032790633,0.0022939451387512222
-148.45295105198377,11.514862727331751,0.0024232258683180817
-148.67252260466924,8.938233316256238,0.0025517780751893432
-148.84750255944365,6.3589202419546735,0.0026795640860032854
-148.97787638554288,3.7776986888858857,0.002806546545357034
-149.0636431196414,1.1953430999697823,0.0029326884266635436
-149.10481532015683,-1.3873730630200583,0.0030579530428410102
-149.10141901730387,-3.9696775571456655,0.0031823040568412842
-149.05349365897,-6.550799594002425,0.0033057054920210293
-148.96109205248734,-9.12997007335455,0.003428121742357293
-148.82428030237443,-11.706421814640187,0.003549517582507584
-148.64313774412435,-14.27938978628066,0.0036698581777134705
-148.41775687411493,-16.84811133273111,0.003789109093545935
-148.14824327571824,-19.411826399212234,0.003907236305490189
-147.83471554168702,-21.969777754065646,0.0040242062083672885
-147.4773051928963,-24.52121120867785,0.004139985625589637
-147.07615659351862,-27.065375834920438,0.004254541818247314
