saturn_x,saturn_y,saturn_z
164.933940948516,-409.58678941208143,0.5557974521889406
165.14836636091948,-409.49570579568217,0.5456924633518087
165.36274312181632,-409.40450188851065,0.535587314564651
165.57707116681397,-409.3131777133392,0.5254820087875266
165.7913504315291,-409.2217332929707,0.5153765489807199
166.0055808515875,-409.13016865023934,0.5052709381047413
166.21976236262404,-409.0384838080101,0.4951651791203264
166.43389490028272,-408.94667878917903,0.48505927498843565
166.64797840021694,-408.85475361667335,0.4749532286702536
166.86201279808904,-408.76270831345096,0.4648470431271888
167.07599802957074,-408.6705429025009,0.4547407213208734
167.28993403034292,-408.5782574068435,0.4446342662131623
167.5038207360957,-408.4858518495295,0.4345276807661332
167.7176580825285,-408.39332625364136,0.4244209679420858
167.93144600534993,-408.3006806422921,0.4143141307035413
168.14518444027803,-408.2079150386259,0.4042071720132423
168.35887332304006,-408.11502946581817,0.39410009483415226
168.57251258937256,-408.02202394707507,0.3839929021294547
168.78610217502148,-407.9288985056339,0.37388559686255324
168.99964201574204,-407.8356531647632,0.3637781819970708
169.21313204729893,-407.74228794776224,0.3536706604968495
169.42657220546621,-407.6488028779617,0.3435630353259497
169.63996242602727,-407.5551979787231,0.3334553094486502
169.85330264477489,-407.4614732734391,0.3233474858294471
170.06659279751133,-407.36762878553344,0.3132395674330541
170.27983282004845,-407.27366453846105,0.30313155722440127
170.49302264820727,-407.1795805557079,0.2930234581686354
170.70616221781845,-407.08537686079086,0.2829152732311188
170.9192514647221,-406.99105347725816,0.27280700537742936
171.1322903247679,-406.8966104286891,0.26269865757335986
171.345278733815,-406.80204773869383,0.25259023278491766
171.55821662773212,-406.7073654309141,0.24248173397832412
171.77110394239747,-406.61256352902245,0.2323731641200142
171.98394061369885,-406.51764205672254,0.22226452617663595
172.1967265775337,-406.4226010377493,0.21215582311505018
172.40946176980896,-406.32744049586876,0.20204705790232996
172.62214612644127,-406.23216045487806,0.19193823350575998
172.83477958335683,-406.13676093860556,0.18182935289283636
173.0473620764915,-406.0412419709108,0.17172041903126595
173.2598935417909,-405.9456035756844,0.16161143488896607
173.4723739152101,-405.8498457768481,0.15150240343406388
173.68480313271408,-405.75396859835496,0.14139332763489604
173.89718113027746,-405.65797206418927,0.13128421046000827
174.1095078438845,-405.5618561983662,0.12117505487815472
174.3217832095293,-405.46562102493255,0.1110658638582977
174.53400716321562,-405.36926656796595,0.10095664036960718
174.74617964095705,-405.2727928515754,0.09084738738146034
174.95830057877694,-405.1761998999013,0.08073810786344109
175.17036991270848,-405.0794877371148,0.07062880478533971
175.38238757879452,-404.9826563874187,0.06051948111715241
175.59435351308795,-404.8857058750468,0.05041013982908087
175.80626765165135,-404.78863622426434,0.04030078389153183
176.01812993055717,-404.6914474593677,0.030191416275116723
176.2299402858879,-404.5941396046844,0.020082039950651255
176.44169865373564,-404.49671268457354,0.009972657889154957
176.65340497020264,-404.3991667234249,-0.000136726938149181
176.8650591714009,-404.30150174566035,-0.010246111559835132
177.07666119345242,-404.2037177757323,-0.020355493004274233
177.2882109724892,-404.1058148381249,-0.03046486829963561
177.49970844465312,-404.0077929573534,-0.040574234473886577
177.71115354609603,-403.90965215796433,-0.050683588554793095
177.9225462129798,-403.8113924645358,-0.06079292756992013
178.13388638147634,-403.7130139016769,-0.07090224854663214
178.3451739877675,-403.6145164940282,-0.08101154851209351
178.5564089680453,-403.5159002662615,-0.091120824493269
178.76759125851166,-403.4171652430801,-0.10123007351692412
178.97872079537856,-403.3183114492185,-0.11133929260962566
179.18979751486822,-403.21933890944274,-0.12144847879774208
179.40082135321282,-403.1202476485499,-0.13155762910744404
179.61179224665466,-403.02103769136863,-0.14166674056470474
179.8227101314462,-402.92170906275896,-0.1517758101953005
180.03357494384997,-402.82226178761215,-0.1618848350248111
180.24438662013873,-402.72269589085107,-0.17199381207862033
180.4551450965954,-402.62301139742965,-0.18210273838191643
180.66585030951293,-402.5232083323335,-0.1922116109596925
180.8765021951947,-402.42328672057954,-0.20232042683674692
181.08710068995413,-402.3232465872161,-0.21242918303768393
181.29764573011485,-402.2230879573229,-0.22253787658691412
181.50813725201084,-402.122810856011,-0.23264650450865462
181.7185751919862,-402.0224153084229,-0.24275506382692985
181.92895948639546,-401.9219013397328,-0.25286355156557183
182.13929007160326,-401.821268975146,-0.2629719647482207
182.34956688398464,-401.7205182398994,-0.273080300398325
182.55978985992485,-401.6196491592613,-0.28318855553914246
182.76995893581955,-401.5186617585316,-0.29329672719374006
182.98007404807473,-401.4175560630414,-0.30340481238499484
183.19013513310674,-401.3163320981535,-0.3135128081355942
183.40014212734218,-401.21498988926214,-0.3236207114680363
183.61009496721815,-401.1135294617929,-0.3337285194046305
183.81999358918205,-401.0119508412029,-0.34383622896749805
184.02983792969184,-400.910254052981,-0.3539438371785722
184.2396279252157,-400.80843912264714,-0.36405134105959913
184.4493635122324,-400.7065060757531,-0.3741587376321379
184.65904462723103,-400.6044549378821,-0.38426602391756104
184.86867120671127,-400.502285734649,-0.39437319693705536
185.0782431871832,-400.39999849169976,-0.404480253711622
185.28776050516737,-400.29759323471234,-0.41458719126207694
185.49722309719493,-400.195069989396,-0.4246940066090517
185.7066308998075,-400.0924287814916,-0.43480069677299366
185.91598384955714,-399.9896696367718,-0.4449072587741664
186.1252818830066,-399.8867925810402,-0.4550136896326503
186.33452493672908,-399.78379764013266,-0.46511998636834323
186.54371294730842,-399.68068483991624,-0.47522614600096036
186.75284585133906,-399.5774542062896,-0.4853321655500354
186.96192358542598,-399.4741057651831,-0.4954380420349205
