jupiter_x,jupiter_y,jupiter_z
28.16503957171254,-324.8551114248186,0.719136499653583
28.628478698744235,-324.79188729293304,0.708506606563246
29.091858740532448,-324.7279915993148,0.6978752481843485
29.555178726279113,-324.66342433630047,0.6872424462010082
30.018437684904363,-324.5981854976028,0.6766082223093414
30.481634645048313,-324.53227507831167,0.665972598217426
30.94476863507295,-324.4656930748956,0.655335595645267
31.407838683063872,-324.3984394852025,0.644697236324759
31.870843816832178,-324.33051430846115,0.6340575419996508
32.333783063916265,-324.2619175452822,0.6234165344255095
32.79665545158369,-324.1926491976593,0.6127742353696838
33.25946000683297,-324.1227092689706,0.6021306666112676
33.72219575639546,-324.0520977639793,0.5914858499410643
34.18486172673717,-323.98081468883555,0.5808398071615499
34.64745694406065,-323.90886005107706,0.5701925600868365
35.10998043430678,-323.83623385963034,0.5595441305426352
35.572431223156705,-323.76293612481214,0.5488945403662207
36.0348083360336,-323.6889668583302,0.5382438114063927
36.497110798104615,-323.61432607328493,0.5275919655234408
36.95933763428271,-323.53901378416987,0.5169390245891059
37.4214878692285,-323.46303000687345,0.5062850104865445
37.88356052735217,-323.3863747586798,0.4956299451102902
38.345554632815315,-323.30904805827,0.48497385036621693
38.80746920953284,-323.2310499257233,0.4743167481715019
39.26930328117485,-323.1523803825182,0.4636586604545872
39.73105587116852,-323.0730394515333,0.4529996091551426
40.19272600269999,-322.9930271570488,0.4423396162240281
40.65431269871629,-322.91234352474777,0.4316787036232552
41.11581498192717,-322.83098858171667,0.42101689332594944
41.5772318748071,-322.7489623564471,0.41035420731631184
42.03856239959708,-322.66626487883667,0.3996906675895813
42.49980557830662,-322.58289618018995,0.38902629615199585
42.96096043271562,-322.4988562932198,0.37836111502075404
43.42202598437631,-322.41414525204857,0.3676951462239765
43.88300125461515,-322.32876309220904,0.35702841180066747
44.343885264534784,-322.24270985064567,0.3463609338006762
44.80467703501595,-322.1559855657155,0.3356927342846571
45.265375586719415,-322.06859027718957,0.3250238353240325
45.72597994008793,-321.9805240262537,0.31435425900095204
46.18648911534815,-321.89178685551,0.3036840274082548
46.64690213251263,-321.80237880897755,0.29301316264942945
47.10721801138169,-321.71229993209374,0.2823416868385755
47.56743577154544,-321.6215502717155,0.2716696221003641
48.027554432385735,-321.5301298761198,0.2609969905699987
48.4875730130781,-321.43803879500587,0.2503238143931758
48.94749053259373,-321.34527707949496,0.23965011572604594
49.407306009701436,-321.2518447821324,0.22897591673517415
49.86701846296961,-321.1577419568886,0.2183012395975009
50.326626910768255,-321.06296865915954,0.20762610650030275
50.786130371270886,-320.9675249457684,0.19695053964115303
51.24552786245659,-320.8714108749667,0.18627456122788275
51.70481840211195,-320.77462650643497,0.17559819347854094
52.164001007833065,-320.6771719012843,0.16492145862135554
52.62307469702752,-320.5790471220569,0.1542443788946938
53.0820384869164,-320.4802522327278,0.1435669765470229
53.5408913945363,-320.38078729870534,0.13288927383687016
53.99963243674127,-320.2806523868326,0.12221129303278315
54.458260630204904,-320.17984756538846,0.11153305641329009
54.91677499142224,-320.0783729040885,0.10085458626685943
55.37517453671187,-319.9762284740861,0.09017590489185981
55.83345828221791,-319.8734143479735,0.07949703459651943
56.291625243912016,-319.7699305997831,0.06881799769888558
56.74967443759543,-319.66577730498824,0.058138816526783745
57.207604878900966,-319.5609545405042,0.04745951341777673
57.6654155832951,-319.45546238468955,0.03678011071912352
58.123105566079964,-319.34930091734685,0.026100630787738034
58.58067384239536,-319.24247021972394,0.015421095990147706
59.03811942722095,-319.13497037451486,0.004741528702452013
59.495441335378054,-319.0268014658608,-0.005938048689719188
59.952638581531936,-318.9179635793515,-0.016617613791247394
60.40971018019375,-318.8084568020259,-0.027297144197567312
60.8666551457226,-318.69828122237317,-0.0379766174947088
61.32347249232768,-318.5874369303341,-0.04865601125933892
61.780161234070206,-318.4759240173016,-0.05933530305880404
62.236720384865656,-318.3637425761224,-0.0700144704511721
62.6931489584857,-318.2508927010971,-0.08069349098527487
63.149445968560386,-318.1373744879824,-0.09137234220075034
63.60561042858016,-318.02318803399095,-0.10205100162808524
64.06164135189798,-317.90833343779315,-0.11272944678865744
64.51753775173141,-317.7928107995177,-0.1234076551947788
64.97329864116472,-317.67662022075314,-0.13408560434973762
65.42892303315098,-317.55976180454803,-0.14476327174784168
65.88440994051419,-317.44223565541284,-0.15544063487446083
66.3397583759513,-317.3240418793203,-0.1661176712060701
66.79496735203448,-317.20518058370664,-0.17679435821029274
67.25003588121304,-317.0856518774726,-0.18747067334594308
67.70496297581573,-316.96545587098456,-0.19814659406306995
68.1597476480528,-316.8445926760751,-0.20882209780299987
68.61438891001802,-316.7230624060444,-0.2194971619983802
69.06888577369101,-316.6008651756609,-0.23017176407322287
69.52323725093923,-316.4780011011626,-0.2408458814429476
69.97744235352015,-316.35447030025796,-0.2515194915144255
70.43150009308346,-316.2302728921265,-0.26219257168602284
70.88540948117306,-316.1054089974202,-0.2728650993476448
71.33916952922944,-315.97987873826446,-0.2835370518807792
71.79277924859159,-315.8536822382588,-0.29420840665854053
72.24623765049938,-315.7268196224778,-0.3048791410457138
72.69954374609553,-315.59929101747264,-0.3155492323987989
73.15269654642789,-315.4710965512712,-0.32621865806605466
73.60569506245162,-315.34223635337975,-0.33688739538754314
74.0585383050313,-315.2127105547833,-0.3475554216951742
74.5112252849431,-315.0825192879471,-0.35822271431274993
74.96375501287703,-314.9516626868171,-0.36888925055600924
75.4161264994391,-314.82014088682143,-0.3795550077326728
75.86833875515345,-314.6879540248706,-0.3902199631424879
