mars_x,mars_y,mars_z
-209.196175602434,-116.4498204179782,2.6926150295748412
-208.09215150306332,-118.09565719764599,2.631039177602025
-206.97307459049884,-119.73295350589478,2.569273010462004
-205.8389961786471,-121.3615737791998,2.5073206282013
-204.6899687331311,-122.98138246335536,2.4451861589312855
-203.52604587835046,-124.5922440210408,2.3828737588428512
-202.34728240455507,-126.19402293954515,2.3203876122180636
-201.15373427493043,-127.78658373865282,2.25773193143872
-199.9454586326921,-129.36979097869227,2.1949109569917122
-198.7225138081878,-130.94350926874998,2.1319289574710822
-197.4849593260039,-132.50760327505162,2.0687902295766976
-196.2328559120745,-134.06193772951275,2.0054990981094205
-194.96626550079108,-135.60637743846095,1.9420599159626861
-193.68525124210876,-137.1407872915318,1.8784770641103758
-192.3898775086487,-138.6650322707404,1.8147549515908834
-191.08020990279203,-140.1789774597307,1.7508980154872678
-189.7563152637639,-141.6824880532051,1.686910720903381
-188.4182616747045,-143.17542936653552,1.6227975609358634
-187.06611846972416,-144.65766684555874,1.558563056641892
-185.69995624093937,-146.12906607655793,1.4942117570025701
-184.31984684548752,-147.58949279643193,1.4297482388818408
-182.9258634125165,-149.03881290305475,1.3651771069808114
-181.51808035014648,-150.47689246582726,1.3005029937873687
-180.0965733524007,-151.9035977364226,1.2357305595209658
-178.66141940610166,-153.31879515972756,1.1708644920724607
-177.21269679772973,-154.72235138498206,1.1059095069388845
-175.75048512024068,-156.11413327711796,1.040870347153017
-174.27486527983845,-157.49400792829968,0.9757517832076424
-172.78591950269973,-158.86184266966814,0.9105586129743632
-171.28373134164704,-160.21750508328952,0.8452956616168428
-169.76838568276557,-161.56086301431162,0.7799677814983496
-168.2399687519614,-162.891784583328,0.7145798520834743
-166.698568121456,-164.21013819895296,0.6491367798338878
-165.14427271621346,-165.5157925706081,0.5836434980980116
-163.57717282029682,-166.80861672152255,0.5181049669944655
-161.9973600831486,-168.08848000194797,0.45252617328916106
-160.40492752579206,-169.35525210259024,0.38691213026590576
-158.79996954694806,-170.60880306825896,0.321267877590383
-157.18258192906433,-171.8490033117363,0.25559848116737255
-155.55286184425128,-173.07572362786627,0.18990903299107312
-153.91090786012103,-174.28883520786613,0.12420465098839108
-152.25681994552417,-175.4882096538606,0.058490478855056253
-150.59069947618005,-176.67371899364048,-0.007228314115573821
-148.9126492401956,-177.8452356956463,-0.07294653321116122
-147.22277344346773,-179.00263268417837,-0.1386589584866265
-145.5211777149645,-180.14578335483398,-0.20436034495811992
-143.8079691118799,-181.27456159017237,-0.27004542280486754
-142.08325612465714,-182.38884177560877,-0.33570889757903316
-140.34714868187504,-183.48849881553755,-0.4013454504237396
-138.59975815499257,-184.57340814968566,-0.4669497382993937
-136.8411973629459,-185.64344576969626,-0.5325163942184574
-135.07158057659214,-186.6984882359436,-0.5980400274888118
