sun_x,sun_y,sun_z
6.337407477875614e-07,-2.5065392404349274e-06,-1.703784927473898e-08
6.546340498380968e-07,-2.5905485570109025e-06,-1.7466032513549696e-08
6.757222561599714e-07,-2.6758721488936586e-06,-1.7884454518946914e-08
6.969957318057198e-07,-2.7625164132521015e-06,-1.829278801683289e-08
7.184457272796281e-07,-2.850488248346156e-06,-1.8690812468361165e-08
7.400643603956243e-07,-2.9397948962241625e-06,-1.9078399375698068e-08
7.618445721932674e-07,-3.0304438073857337e-06,-1.9455497013454563e-08
7.837800651911502e-07,-3.122442529782096e-06,-1.9822115539339568e-08
8.058652314117609e-07,-3.2157986221390316e-06,-2.0178313164988066e-08
8.280950763194208e-07,-3.3105195899074994e-06,-2.0524183812066962e-08
8.504651433721191e-07,-3.40661284113333e-06,-2.0859846463747306e-08
8.729714425081523e-07,-3.504085659071867e-06,-2.118543625699396e-08
8.956103846912544e-07,-3.602945188310659e-06,-2.1501097246160946e-08
9.183787236751641e-07,-3.7031984313644985e-06,-2.180697669648735e-08
9.412735054240819e-07,-3.804852253056859e-06,-2.2103220728202503e-08
9.642920251149405e-07,-3.9079133904147564e-06,-2.2389971118844838e-08
9.874317913138508e-07,-4.012388466222224e-06,-2.2667363074959624e-08
1.0106904967227916e-06,-4.118284004766174e-06,-2.2935523798074702e-08
1.0340659947970735e-06,-4.2256064486494595e-06,-2.3194571688941748e-08
1.0575562815085628e-06,-4.334362175832971e-06,-2.3444616055130062e-08
1.0811594815498936e-06,-4.444557516302426e-06,-2.3685757208008736e-08
1.104873838322734e-06,-4.55619876794084e-06,-2.3918086854672603e-08
1.1286977071156358e-06,-4.669292211331074e-06,-2.414168870780043e-08
1.152629550945209e-06,-4.783844123321232e-06,-2.43566392515357e-08
1.1766679386024929e-06,-4.899860789265872e-06,-2.456300861426457e-08
1.2008115445110357e-06,-5.0173485139135855e-06,-2.476086150979132e-08
1.2250591500622982e-06,-5.136313630951859e-06,-2.4950258217112793e-08
